,0,1,2,3
235,235,1504368024.8420703,1664,876
236,236,1504368024.942094,1664,876
237,237,1504368025.0421183,1664,876
238,238,1504368025.1421428,1664,876
239,239,1504368025.2421682,1664,876
240,240,1504368025.3421917,1676,875
241,241,1504368025.4422162,1729,872
242,242,1504368025.5422423,1731,872
243,243,1504368025.6422653,1731,872
244,244,1504368025.74229,1731,872
245,245,1504368025.842314,1731,872
246,246,1504368025.9423382,1729,875
247,247,1504368026.0423627,1511,768
248,248,1504368026.1423874,1043,450
249,249,1504368026.2424114,980,406
250,250,1504368026.342436,980,406
251,251,1504368026.4424605,980,406
252,252,1504368026.542485,943,419
253,253,1504368026.6425095,847,433
254,254,1504368026.7425337,808,437
255,255,1504368026.8425581,801,438
256,256,1504368026.9425826,801,438
257,257,1504368027.042607,801,438
258,258,1504368027.142632,801,438
259,259,1504368027.242656,801,438
260,260,1504368027.3426805,804,438
261,261,1504368027.442705,879,437
262,262,1504368027.5427294,998,438
263,263,1504368027.6427546,1059,440
264,264,1504368027.7427783,1096,446
265,265,1504368027.8428025,1160,480
266,266,1504368027.9428272,1202,524
267,267,1504368028.0428514,1254,642
268,268,1504368028.142876,1284,704
269,269,1504368028.2429004,1285,707
270,270,1504368028.3429248,1379,744
271,271,1504368028.4429493,1371,733
272,272,1504368028.5429735,1300,638
273,273,1504368028.6429982,1216,564
274,274,1504368028.7430224,1183,590
275,275,1504368028.843047,1185,651
276,276,1504368028.9430716,1198,666
277,277,1504368029.0430958,1297,683
278,278,1504368029.1431215,1357,687
279,279,1504368029.2431448,1356,687
280,280,1504368029.3431692,1177,666
281,281,1504368029.4431937,1148,663
282,282,1504368029.5432184,1164,663
283,283,1504368029.6432424,1247,669
284,284,1504368029.7432673,1248,670
285,285,1504368029.8432913,1234,675
286,286,1504368029.9433157,1215,675
287,287,1504368030.0433412,1185,672
288,288,1504368030.1433647,1239,650
289,289,1504368030.2433891,1369,649
290,290,1504368030.3434136,1305,684
291,291,1504368030.4434378,1204,714
292,292,1504368030.543463,1204,714
293,293,1504368030.6434867,1316,688
294,294,1504368030.7435114,1398,640
295,295,1504368030.8435357,1368,610
296,296,1504368030.9435601,1207,657
297,297,1504368031.0435846,1169,698
298,298,1504368031.143609,1228,741
299,299,1504368031.2436335,1272,754
300,300,1504368031.3436582,1338,738
301,301,1504368031.4436827,1398,684
302,302,1504368031.5437074,1439,650
303,303,1504368031.643731,1441,665
304,304,1504368031.7437556,1337,702
305,305,1504368031.84378,1155,716
306,306,1504368031.9438045,1148,715
307,307,1504368032.043829,1165,661
308,308,1504368032.1438532,1270,624
309,309,1504368032.243878,1354,677
310,310,1504368032.343902,1369,758
311,311,1504368032.4439273,1358,772
312,312,1504368032.543951,1324,768
313,313,1504368032.6439762,1299,685
314,314,1504368032.744,1313,646
315,315,1504368032.8440247,1313,648
316,316,1504368032.9440491,1301,667
317,317,1504368033.0440733,1243,742
318,318,1504368033.1440978,1211,758
319,319,1504368033.244122,1212,747
320,320,1504368033.3441465,1314,677
321,321,1504368033.444172,1356,654
322,322,1504368033.544196,1330,671
323,323,1504368033.6442199,1193,683
324,324,1504368033.7442443,1168,683
325,325,1504368033.8442688,1171,665
326,326,1504368033.9442933,1255,606
327,327,1504368034.0443175,1289,600
328,328,1504368034.1443417,1271,655
329,329,1504368034.244367,1254,678
330,330,1504368034.344391,1254,682
331,331,1504368034.4444153,1286,707
332,332,1504368034.5444396,1338,688
333,333,1504368034.6444645,1360,633
334,334,1504368034.7444887,1332,640
335,335,1504368034.8445132,1232,707
336,336,1504368034.9445374,1224,739
337,337,1504368035.044562,1285,735
338,338,1504368035.144587,1393,679
339,339,1504368035.2446108,1402,643
340,340,1504368035.3446352,1287,641
